ID,Council_District,Amount,Household Size,Race,Ethnicity,Gender,DATE,Zip_Code,ObjectId,GlobalID
101,2,5795,1,African American,Non-Hispanic,Male,9/7/2021,40218,1,5da51adf-ba22-4c48-8c59-cd5664989b46
102,2,8325,8,White,Non-Hispanic,Male,8/2/2021,40213,2,b7108d8b-f7ef-4973-98b2-a049d06a228a
103,2,7456,3,African American,Non-Hispanic,Female,8/31/2021,40218,3,f759ac97-0e17-400e-9469-7458fe098d10
104,2,2622,5,White,Non-Hispanic,Female,7/21/2021,40218,4,c9190510-3be7-4f5c-bbbe-5190b755d738
105,2,7704,2,African American,Non-Hispanic,Female,7/30/2021,40218,5,e6e8845e-4185-4dac-8457-fef0e813e6ee
106,2,7200,1,Others,Non-Hispanic,Male,9/7/2021,40218,6,054d68a1-c3ab-49c8-98c0-b5b835c4d067
107,2,6455,1,African American,Non-Hispanic,Male,7/30/2021,40218,7,33bbd289-d609-42c2-b756-bb883a464bdf
108,2,7670,2,African American,Non-Hispanic,Male,10/27/2021,40218,8,144d7658-4499-4ef2-a0df-7e9ab14e4c51
109,2,11150,3,African American,Non-Hispanic,Female,8/25/2021,40219,9,25be747e-b9c8-45f1-9d8b-c8a7e0f78c6c
110,2,9350,2,African American,Non-Hispanic,Female,8/26/2021,40218,10,43879cb6-7753-497d-ac6c-ecde643b848e
111,2,14020.1,1,African American,Non-Hispanic,Male,10/22/2021,40218,11,26adae62-7497-4148-bd95-c013b8650d44
112,2,2856,4,African American,Non-Hispanic,Female,7/1/2021,40218,12,e04b1c53-e46f-4065-9192-b06e3578feb5
113,2,4124,4,African American,Non-Hispanic,Female,7/1/2021,40218,13,50bc37b1-2ce2-4383-851f-7f48393a5d79
114,2,3222,2,White,Non-Hispanic,Male,7/8/2021,40218,14,f99549fb-ca9a-49a4-bca0-25d11d498b0a
115,2,6662,2,White,Non-Hispanic,Male,7/8/2021,40218,15,a140fc4c-f21a-4ac1-acde-72222104a3b7
116,2,1321.87,5,African American,Non-Hispanic,Female,10/22/2021,40218,16,15044529-fe78-4ded-b7d6-26a5d141e308
117,2,6400,4,African American,Non-Hispanic,Male,8/18/2021,40218,17,75e6fbea-b621-447f-a898-f91f58c7027d
118,2,7952,2,African American,Non-Hispanic,Female,9/3/2021,40218,18,15966bfb-ff82-43ff-8bbc-6e21d1433d63
119,2,2100,3,African American,Non-Hispanic,Female,7/21/2021,40219,19,e50ed265-c0f1-4bde-aa36-8adc3c492a2b
120,2,5950,2,African American,Non-Hispanic,Male,7/29/2021,40213,20,1424ebc1-7178-4405-adaf-65891d530e3e
121,2,8018.65,3,African American,Non-Hispanic,Female,11/1/2021,40219,21,b994823c-9c51-47e7-9ee5-0229003f4a05
122,2,7312.97,4,Others,Non-Hispanic,Male,10/25/2021,40218,22,4b7adcae-54de-4d0a-ac87-d621a33cd106
123,2,4440,2,African American,Non-Hispanic,Female,11/12/2021,40218,23,f5223cb4-d9d4-44e6-b989-4cd1dec87466
124,2,7960,1,African American,Non-Hispanic,Female,8/27/2021,40219,24,52cb8010-dbc2-4aa5-a1e2-f681d2b1f346
125,2,9525,2,White,Non-Hispanic,Male,7/23/2021,40218,25,447c549b-2528-4432-9e1e-42d61bbf8cf5
126,2,3057,1,African American,Non-Hispanic,Female,7/12/2021,40218,26,12cd25d8-2efa-4c60-8778-b696b162eb32
127,2,7723,1,African American,Non-Hispanic,Female,7/12/2021,40218,27,8738ba9e-ccac-47eb-97c2-9ceee07114c9
128,2,7050,2,African American,Non-Hispanic,Female,8/29/2021,40219,28,1b3975d1-4c95-44c4-ae62-5fd47cf87d33
129,2,3920,1,White,Non-Hispanic,Female,8/28/2021,40219,29,2e65ef7b-67a9-4337-b4bb-afdf7d197b4a
130,2,6801,4,African American,Non-Hispanic,Female,9/15/2021,40218,30,bf8d4f8d-038a-4fb6-85f7-2c309d239a7c
131,2,6857.57,1,African American,Non-Hispanic,Male,10/26/2021,40218,31,7353fdf2-8477-4313-a6de-04e09729ea76
132,2,6885.8,1,White,Non-Hispanic,Male,11/2/2021,40218,32,4bf60691-0dcd-42f9-b0c0-72e752501a1d
133,2,10700,2,White,Non-Hispanic,Female,9/14/2021,40218,33,e09eb726-7607-4c15-81e1-1037be05bc94
134,2,3162,1,African American,Non-Hispanic,Male,7/8/2021,40218,34,4ebb215f-e3e3-4474-8f1c-b6ffb146d4fd
135,2,6693,1,White,Non-Hispanic,Female,7/8/2021,40218,35,49c3add8-cad7-4e31-8f55-da32eb7f88c1
136,2,8502,4,African American,Non-Hispanic,Female,10/8/2021,40218,36,fc2c1405-4e64-42cd-b413-058bb3cf39ea
137,2,7102,2,African American,Non-Hispanic,Male,9/16/2021,40219,37,928d0556-1d72-4dc1-80a0-2bc648eac09c
138,2,2811,4,Others,Hispanic,Male,7/8/2021,40218,38,e3468050-2d6b-491b-8885-744a8734894d
139,2,5523,4,Others,Non-Hispanic,Male,7/8/2021,40218,39,ede5af33-f6c9-4cfc-8caa-cca1a5e4f9d6
